# id	left	top	right	bottom	texture_id
[SPRITES]
#organe block
101001	919	137	934	152	40
101002	936	137	951	152	40
101003	953	137	968	152	40
101004	919	154	934	169	40
101005	936	154	951	169	40
101006	953	154	968	169	40
101007	919	171	934	186	40
101008	936	171	951	186	40
101009	953	171	968	186	40

#green block
102001	919	188	934	203	40
102002	936	188	951	203	40
102003	953	188	968	203	40
102004	919	205	934	220	40
102005	936	205	951	220	40
102006	953	205	968	220	40
102007	919	222	934	237	40
102008	936	222	951	237	40
102009	953	222	968	237	40

#blue block
103001	970	137	985	152	40
103002	987	137	1002	152	40
103003	1004	137	1019	152	40
103004	970	154	985	169	40
103005	987	154	1002	169	40
103006	1004	154	1019	169	40
103007	970	171	985	186	40
103008	987	171	1002	186	40
103009	1004	171	1019	186	40
#white block
104001	970	188	985	203	40
104002	987	188	1002	203	40
104003	1004	188	1019	203	40
104004	970	205	985	220	40
104005	987	205	1002	220	40
104006	1004	205	1019	220	40
104007	970	222	985	237	40
104008	987	222	1002	237	40
104009	1004	222	1019	237	40
#green block
105000	347	118	442	149	30
#shadow white block
106001	411	46	418	117	30
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
